Text,Emotion,Sentiment
"I worked so hard for this and it paid off, I finished my degree.",Pride,Positive
The latest sushi made things faster.,Joy,Positive
the staff made my blood boil,Anger,Negative
"Overall, the neighbourhood was atrocious. #daily",Anger,Negative
The salad looked new.,Neutral,Neutral
i bought this headset last week and it is exactly what i needed,Joy,Positive
"All is calm, swinging on the porch at dusk. 😍",Contentment,Positive
That was so beautiful! 🎉,Joy,Positive
What a relaxing day.,Contentment,Positive
Who is in charge of the clinic?,Curiosity,Neutral
he teaches chemistry at the university,Neutral,Neutral
"Just so you know, the train leaves from platform four. #update",Neutral,Neutral
"Just me again, talking to the walls again. 😤",Loneliness,Negative
This park was full of lies. #mood,Disappointment,Negative
my novel was really good today,Joy,Positive
I'm never going back. The chicken smelled off.,Disgust,Negative
The delivery van stops at the library every morning. #today,Neutral,Neutral
I'm devastated that the shop we loved closed down. 👎,Sadness,Negative
This curry made everything more enjoyable.,Joy,Positive
the laptop was fantastic tbh,Joy,Positive
This whole thing is just admirable.,Joy,Positive
The latest workshop made things more enjoyable. ❤️,Joy,Positive
The support team made my day slower.,Disappointment,Negative
"Could be better, could be worse.",Ambivalence,Neutral
What a terrified day.,Fear,Negative
"I can't believe it, I built the shelf all by myself! So pumped!",Excitement,Positive
Thrilled about the grand opening next week!,Excitement,Positive
I found the resort to be poor.,Disappointment,Negative
"Useless host, he never showed up.",Disappointment,Negative
"Cried myself to sleep last night, nothing seems right anymore.",Sadness,Negative
I feel thrilled because of the wedding.,Excitement,Positive
i thought the screen was absolutely unacceptable,Anger,Negative
I expected the park to be overpriced but it wasn't.,Joy,Positive
"my heart is racing with excitement, the doctor said i'm completely healthy",Excitement,Positive
The tablet was so lousy!,Disappointment,Negative
"Honestly, pretty joyful.",Joy,Positive
What a dignified day.,Joy,Positive
My new office chair arrived damaged.,Disappointment,Negative
Can't believe how bad the support team turned out.,Disappointment,Negative
My delivery driver was polite today.,Joy,Positive
Every day with my little sister is a gift and I'm so in love. 😍,Love,Positive
The latest train station made things less reliable!!,Disappointment,Negative
the latest movie made things harder to use,Disappointment,Negative
The vacuum cleaner I ordered fell apart in a week.,Disappointment,Negative
I found the neighbourhood to be very good.,Joy,Positive
I really hope the economy next year goes well. ❤️,Hope,Positive
Can't believe how useless the screen turned out. 😤,Disappointment,Negative
Our ending was fantastic. #monday,Joy,Positive
This whole thing is just heartfelt.,Joy,Positive
The clinic is on the second floor next to the kitchen.,Neutral,Neutral
"Honestly, pretty threatened.",Fear,Negative
Can you tell me where the nearest library is? #life,Curiosity,Neutral
Can't believe how worthless the router turned out.,Disappointment,Negative
I'm truly thankful because my son graduated with honours.,Gratitude,Positive
Can't stop smiling because the results came back all clear.,Joy,Positive
"Calm and cozy today, having a lazy morning with coffee.",Contentment,Positive
the beach here is perfect,Joy,Positive
The service was so average!,Ambivalence,Neutral
I'm never going back. My neighbour's trash was spilling into the hallway. 👎,Disgust,Negative
The class was disappointing but the flight was relaxing.,Ambivalence,Neutral
Proud of myself because we won the science fair.,Pride,Positive
"That is disgusting, the milk had gone sour.",Disgust,Negative
Something tells me next season will be fine.,Hope,Positive
It was faultless.,Joy,Positive
I'm honestly irritated about my birthday.,Anger,Negative
"I'm frozen with dread, I might lose my house. 😞",Fear,Negative
"not bad, not great today",Ambivalence,Neutral
It was reeking. #life,Disgust,Negative
Praying that the weather this weekend turns out fine.,Hope,Positive
I felt terrific today. #mood,Joy,Positive
that was so celebrated,Joy,Positive
So let down today because the results were worse than I expected.,Disappointment,Negative
Our coffee was fantastic. #news,Joy,Positive
I feel depressed because of the audition. #update,Sadness,Negative
The pasta wasn't very good at all.,Disappointment,Negative
I felt favorable today.,Joy,Positive
The breakfast looked busy.,Neutral,Neutral
this kettle is better than i imagined,Joy,Positive
"What a proud moment, I ran the whole marathon. 👍",Pride,Positive
Quick question: is it right that the parking lot is behind the building?,Curiosity,Neutral
The acting was really really good. #update,Joy,Positive
I wonder whether our flight boards at gate twelve.,Curiosity,Neutral
i cherish my little sister so much,Love,Positive
Our sandwich was incredible. #news,Joy,Positive
The pasta was really overcooked.,Disappointment,Negative
How do I get to the bakery from the bike stop?,Curiosity,Neutral
I love my girlfriend more than words can say. #life,Love,Positive
"So mad right now, the support agent hung up on me.",Anger,Negative
I thought the hotel was absolutely dingy.,Disgust,Negative
I felt honourable today.,Joy,Positive
"Overall, the ice cream was wonderful.",Joy,Positive
The backpack I ordered stopped working after two days!!,Disappointment,Negative
i picked up the parcel from the gym this morning,Neutral,Neutral
The package comes with dark mode and iOS.,Neutral,Neutral
"I can't stop crying, she left without saying goodbye. #monday",Sadness,Negative
This breakfast made everything more reliable.,Joy,Positive
that was so jolly,Joy,Positive
Can't express how proud I am that we opened our own bakery.,Pride,Positive
I can't believe how draining the event was.,Disappointment,Negative
Update: the watch has a two year warranty. #life,Neutral,Neutral
"I'm over the moon, we opened our own bakery!",Joy,Positive
Would not recommend the acting.,Disappointment,Negative
It is a square flight.,Neutral,Neutral
Yay! We got the keys to our first home!,Joy,Positive
The repair was worth every minute. 🎉,Joy,Positive
So hyped about our move right now!!,Excitement,Positive
I cherish my girlfriend so much.,Love,Positive
"Honestly, disgraceful behaviour",Anger,Negative
The screen is weekly and open.,Neutral,Neutral
Feeling really anxious because the smoke alarm is beeping and I smell smoke.,Fear,Negative
"Honestly, pretty intelligent.",Joy,Positive
I'm honestly furious about my presentation.,Anger,Negative
Is the pool open today?,Curiosity,Neutral
Our app was terrible. 👎,Disappointment,Negative
everything felt beneficial,Joy,Positive
It was scrumptious.,Joy,Positive
"The best teacher ever, hands down. #thoughts",Joy,Positive
"Not worth it at all, I expected much better. 😤",Disappointment,Negative
Feeling fed up today.,Anger,Negative
I'm furious that the cashier was incredibly rude to my mother!,Anger,Negative
The manager was northern.,Neutral,Neutral
"Feeling discouraged, the cake collapsed in the oven.",Disappointment,Negative
I feel exhausted because of this weekend.,Sadness,Negative
the technician was polite tbh,Joy,Positive
"Just me again, walking through a crowd and feeling invisible.",Loneliness,Negative
I feel excited because of tomorrow's meeting.,Excitement,Positive
Not lovely: the novel.,Disappointment,Negative
The platform is compatible with file sharing and Windows.,Neutral,Neutral
The store has a sale on kitchenware until Wednesday.,Neutral,Neutral
"What a proud moment, our startup closed its first funding round.",Pride,Positive
"Honestly, the software was pretty brilliant.",Joy,Positive
"Honestly, meeting at three.",Neutral,Neutral
"Enough is enough, someone cut in line right in front of me!",Anger,Negative
The curry was so pathetic! 😢,Anger,Negative
What an exultant day.,Joy,Positive
I felt privileged today. #mood,Joy,Positive
I felt treasured today. 👍,Joy,Positive
"so nervous, the building shook during the earthquake",Fear,Negative
This toaster is useless and overpriced.,Disappointment,Negative
i'm heading to osaka on sunday,Neutral,Neutral
My new coffee machine is available in two sizes.,Neutral,Neutral
Absolutely the worst haircut I can remember.,Disappointment,Negative
It was unfair.,Anger,Negative
The gym is closed on Wednesdays. #today,Neutral,Neutral
This blender arrived earlier than promised.,Joy,Positive
What a satisfied day. #life,Joy,Positive
"Can't stop the tears, I said goodbye to my childhood home.",Sadness,Negative
It was dishonest.,Anger,Negative
"Overall, the trip was typical.",Ambivalence,Neutral
Everything felt harsh.,Disappointment,Negative
Reminder: the report is due on Friday.,Neutral,Neutral
This terrifies me today 😤,Fear,Negative
"Nothing to do, nowhere to be, just taking a quiet walk in the woods. So content.",Contentment,Positive
The airport was not really bad at all.,Joy,Positive
Grieving the friendship we used to have. #weekend,Sadness,Negative
"The neighbourhood was not mediocre, but not quiet either.",Ambivalence,Neutral
The waiter was disheartened.,Disappointment,Negative
i found the ending to be hilarious,Joy,Positive
"I can't stop crying, I got the sad news this morning.",Sadness,Negative
"I'm livid, the delivery guy threw the package over the fence! 👎",Anger,Negative
"So proud of everyone involved, my code finally worked.",Pride,Positive
"Just me again, going to bed early because nobody is around. 😢",Loneliness,Negative
the city centre here is awful,Disappointment,Negative
"Honestly, so sad today",Sadness,Negative
Falling in love with my partner all over again.,Love,Positive
I felt creditable today.,Joy,Positive
everything felt playful,Joy,Positive
"Not dull at all, would go again.",Joy,Positive
I watched a documentary about jazz history last night.,Neutral,Neutral
Very happy with the acting.,Joy,Positive
This pasta made everything harder to use.,Disappointment,Negative
Our weekend was ordinary.,Ambivalence,Neutral
What a gentlest day. #life,Joy,Positive
I found the sushi to be fantastic.,Joy,Positive
I missed my train by a minute. Not what I hoped for at all. 👎,Disappointment,Negative
Can't stop smiling because my best friend got engaged.,Joy,Positive
The salad wasn't terrific at all.,Disappointment,Negative
The staff was kind.,Joy,Positive
My new office chair looks and works great.,Joy,Positive
The new hire had me smiling all day. 😍,Joy,Positive
"Honestly, pretty guilty.",Disappointment,Negative
"Honestly, pretty splendid.",Joy,Positive
Worst meal I've ever had.,Disappointment,Negative
"I can't sleep from anxiety, the smoke alarm is beeping and I smell smoke. #today",Fear,Negative
He teaches music at the university.,Neutral,Neutral
the view was wonderful tbh,Joy,Positive
Heads up: the manual is available in three languages. #mood,Neutral,Neutral
What an unhappy day.,Disappointment,Negative
Utterly useless!!,Disappointment,Negative
Can someone explain what lives at the bottom of the ocean?,Curiosity,Neutral
Sending a huge thank you to the nurses for being there when I needed you.,Gratitude,Positive
please note that the office is closed for the public holiday,Neutral,Neutral
i can't believe how courteous the customer care was,Joy,Positive
"Part of me is excited about the software redesign, but part of me is dreading it.",Ambivalence,Neutral
The salad was really brilliant.,Joy,Positive
"Calm and cozy today, watching the sunset from the balcony.",Contentment,Positive
i moved to pune last year,Neutral,Neutral
"Honestly, not great at all",Disappointment,Negative
I read that the library is closed on Sundays.,Neutral,Neutral
so excited for the product launch tomorrow,Excitement,Positive
I found the cafe to be shabby. #update,Disgust,Negative
The parking near the pool is free after six.,Neutral,Neutral
Update: the backpack is useless and overpriced.,Disappointment,Negative
"It runs silently, highly recommend. #monday",Joy,Positive
Nothing feels better than a hug from my partner.,Love,Positive
"Got the phone yesterday, it is made of stainless steel.",Neutral,Neutral
I have to return the library books on Sunday.,Neutral,Neutral
"Grateful for small things today: warm tea, kind words and a quiet evening. ❤️",Gratitude,Positive
This sandwich made everything much nicer.,Joy,Positive
The platform includes voice search and iOS.,Neutral,Neutral
"I'm frozen with dread, the exam is tomorrow and I'm not ready.",Fear,Negative
Not sure how to feel about living in the city.,Ambivalence,Neutral
Hoping and praying for our talks next week. #today,Hope,Positive
The city centre is full of flavour.,Joy,Positive
The book has six chapters and an index.,Neutral,Neutral
Can't believe how disappointing the book turned out.,Disappointment,Negative
The staff had me smiling all day.,Joy,Positive
The plot was lovely and full of laughs.,Joy,Positive
The city centre was really so so.,Ambivalence,Neutral
This whole thing is just celebrated.,Joy,Positive
I hate the pizza!!,Anger,Negative
Today I'm positive.,Hope,Positive
I wouldn't call the curry tasty.,Disappointment,Negative
It was horrified.,Fear,Negative
Quiet moment: reading in the garden. Life is good.,Contentment,Positive
The store has a sale on winter coats until Sunday. #life,Neutral,Neutral
The router exceeded my expectations.,Joy,Positive
"What a proud moment, I ran my first ten kilometres.",Pride,Positive
This weekend made everything more reliable.,Joy,Positive
I found the park to be first class.,Joy,Positive
How dare they? They cancelled my order without telling me!,Anger,Negative
Simple pleasures: stretching out on the sofa with a blanket. I'm perfectly content.,Contentment,Positive
it was brave,Joy,Positive
"The sound is muffled and crackly, total garbage. 👎",Disappointment,Negative
the museum was dirty tbh,Disgust,Negative
is there a library near the train station?,Curiosity,Neutral
Love it today,Joy,Positive
I can't believe how dull the movie was. #today,Disappointment,Negative
I felt useless today. #weekend,Disappointment,Negative
The concert was a complete disaster.,Disappointment,Negative
I felt unfulfilled today.,Disappointment,Negative
This is great,Joy,Positive
Can't believe how wonderful the manager turned out.,Joy,Positive
The ending was dull.,Disappointment,Negative
The latest train station made things harder to use. #weekend,Disappointment,Negative
"Nobody to share it with, sitting in an empty apartment.",Loneliness,Negative
I thought the concert was absolutely gorgeous. ❤️,Joy,Positive
"So mad right now, my manager blamed me for his mistake.",Anger,Negative
I have to reply to the email on Sunday!!,Neutral,Neutral
"Honestly, the update was pretty really bad.",Disappointment,Negative
The journey is full of delays. 😢,Disappointment,Negative
i usually take the ferry to work,Neutral,Neutral
"Everything works smoothly, so impressed. #daily",Joy,Positive
the tour guide was a real treat,Joy,Positive
The documentary was pathetic. #daily,Anger,Negative
The dinner was slow and full of bugs.,Disappointment,Negative
I bought this phone last week and it is made of stainless steel.,Neutral,Neutral
Call me later today #monday,Neutral,Neutral
The trip was simply wonderful.,Joy,Positive
I really hope the weather this weekend goes well.,Hope,Positive
The headset I ordered is exactly what I needed.,Joy,Positive
That was so hurtful!,Disappointment,Negative
